"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"in_out";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Sex";"Own_survival";"N_Recruits";"r2s";"parent_in_pedigree";"present_in_pedigree";"ever_a_parent";"ringed_ad_recorded";"estimated_pop_size";"observed_breeding_popsize"
"119";"2000_8168692_indre kvarøy";"2000_8168692";"8168692";"2000_indre kvarøy";2000;"indre kvarøy";28;0;2;1998;"no";"obs";NA;NA;"f";1;1;3;"yes";"yes";"yes";25;32;30
"120";"2001_8168692_indre kvarøy";"2001_8168692";"8168692";"2001_indre kvarøy";2001;"indre kvarøy";28;0;3;1998;"no";"obs";"capt";NA;"f";0;2;2;"yes";"yes";"yes";32;40;35
"121";"2000_8168693_indre kvarøy";"2000_8168693";"8168693";"2000_indre kvarøy";2000;"indre kvarøy";28;0;1;1999;"no";"obs";"capt";NA;"m";0;0;0;"no";"yes";"never";25;32;30
"122";"2000_8168698_hestmannøy";"2000_8168698";"8168698";"2000_hestmannøy";2000;"hestmannøy";27;0;1;1999;"yes";NA;NA;NA;"f";1;1;3;"yes";"yes";"yes";108;121;123
"123";"2001_8168698_hestmannøy";"2001_8168698";"8168698";"2001_hestmannøy";2001;"hestmannøy";27;0;2;1999;"no";"obs";"capt";NA;"f";0;0;0;"no";"yes";"yes";105;141;117
"124";"2000_8168702_hestmannøy";"2000_8168702";"8168702";"2000_hestmannøy";2000;"hestmannøy";27;0;1;1999;"no";"obs";"capt";NA;"m";1;0;2;"yes";"yes";"yes";108;121;123
"125";"2001_8168702_hestmannøy";"2001_8168702";"8168702";"2001_hestmannøy";2001;"hestmannøy";27;0;2;1999;"no";"obs";"capt";NA;"m";0;1;1;"yes";"yes";"yes";105;141;117
"126";"2000_8168709_gjerøy";"2000_8168709";"8168709";"2000_gjerøy";2000;"gjerøy";26;0;1;1999;"no";"obs";"capt";NA;"m";1;2;4;"yes";"yes";"yes";61;67;66
"127";"2001_8168709_gjerøy";"2001_8168709";"8168709";"2001_gjerøy";2001;"gjerøy";26;0;2;1999;"no";"obs";NA;NA;"m";1;1;3;"yes";"yes";"yes";48;59;54
"128";"2002_8168709_gjerøy";"2002_8168709";"8168709";"2002_gjerøy";2002;"gjerøy";26;0;3;1999;"no";"obs";"capt";NA;"m";0;4;4;"yes";"yes";"yes";36;52;48
"129";"2000_8168728_gjerøy";"2000_8168728";"8168728";"2000_gjerøy";2000;"gjerøy";26;0;1;1999;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"never";61;67;66
